judge_model,source_judge_runs,answer_model_family,answer_model_name,rollout,part,n_answers,n_judgments,avg_score_0_to_4,avg_percent,score_distribution
deepseek-v4-pro,deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],1,all,50,50,3.5,87.5,"{""1"": 4, ""2"": 5, ""3"": 3, ""4"": 38}"
MiniMax-M3,minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-3.minimax-m3-no-thinking.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],1,all,50,50,3.46,86.5,"{""1"": 5, ""2"": 4, ""3"": 4, ""4"": 37}"
deepseek-v4-pro,deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],1,part1_first_30,30,30,3.8,95.0,"{""1"": 2, ""4"": 28}"
MiniMax-M3,minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-3.minimax-m3-no-thinking.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],1,part1_first_30,30,30,3.733333,93.3333,"{""1"": 2, ""3"": 2, ""4"": 26}"
deepseek-v4-pro,deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],1,part2_last_20,20,20,3.05,76.25,"{""1"": 2, ""2"": 5, ""3"": 3, ""4"": 10}"
MiniMax-M3,minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-3.minimax-m3-no-thinking.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],1,part2_last_20,20,20,3.05,76.25,"{""1"": 3, ""2"": 4, ""3"": 2, ""4"": 11}"
deepseek-v4-pro,deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],2,all,50,50,3.58,89.5,"{""1"": 3, ""2"": 4, ""3"": 4, ""4"": 39}"
MiniMax-M3,minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-3.minimax-m3-no-thinking.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],2,all,50,50,3.48,87.0,"{""1"": 5, ""2"": 3, ""3"": 5, ""4"": 37}"
deepseek-v4-pro,deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],2,part1_first_30,30,30,3.866667,96.6667,"{""1"": 1, ""3"": 1, ""4"": 28}"
MiniMax-M3,minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-3.minimax-m3-no-thinking.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],2,part1_first_30,30,30,3.866667,96.6667,"{""1"": 1, ""3"": 1, ""4"": 28}"
deepseek-v4-pro,deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],2,part2_last_20,20,20,3.15,78.75,"{""1"": 2, ""2"": 4, ""3"": 3, ""4"": 11}"
MiniMax-M3,minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-3.minimax-m3-no-thinking.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],2,part2_last_20,20,20,2.9,72.5,"{""1"": 4, ""2"": 3, ""3"": 4, ""4"": 9}"
