judge,rollout,part1,part2,overall
DeepSeek V4 Pro,1,100.0,75.0,90.0
DeepSeek V4 Pro,2,96.66666666666667,72.5,87.0
DeepSeek V4 Pro,3,98.33333333333333,71.25,87.5
MiniMax M3 no-thinking,1,99.16666666666667,75.0,89.5
MiniMax M3 no-thinking,2,96.66666666666667,66.25,84.5
MiniMax M3 no-thinking,3,96.66666666666667,70.0,86.0
DeepSeek V4 Pro,weighted,98.33333333333333,72.91666666666666,88.16666666666667
MiniMax M3 no-thinking,weighted,97.5,70.41666666666667,86.66666666666667
Mean of DeepSeek and MiniMax,1,99.58333333333334,75.0,89.75
Mean of DeepSeek and MiniMax,2,96.66666666666667,69.375,85.75
Mean of DeepSeek and MiniMax,3,97.5,70.625,86.75
Mean of DeepSeek and MiniMax,weighted,97.91666666666666,71.66666666666666,87.41666666666667
