answer_model_name,judge_model,rollout,part,n_unique_answers,n_judgments,avg_score_0_to_4,avg_percent
kimi-for-coding,deepseek-v4-pro,1,all,50,50,3.060000,76.5000
kimi-for-coding,MiniMax-M3,1,all,50,50,3.020000,75.5000
kimi-for-coding,"mean(deepseek-v4-pro,MiniMax-M3)",1,all,50,100,3.040000,76.0000
kimi-for-coding,deepseek-v4-pro,1,part1_first_30,30,30,3.366667,84.1667
kimi-for-coding,MiniMax-M3,1,part1_first_30,30,30,3.333333,83.3333
kimi-for-coding,"mean(deepseek-v4-pro,MiniMax-M3)",1,part1_first_30,30,60,3.350000,83.7500
kimi-for-coding,deepseek-v4-pro,1,part2_last_20,20,20,2.600000,65.0000
kimi-for-coding,MiniMax-M3,1,part2_last_20,20,20,2.550000,63.7500
kimi-for-coding,"mean(deepseek-v4-pro,MiniMax-M3)",1,part2_last_20,20,40,2.575000,64.3750
kimi-for-coding,deepseek-v4-pro,2,all,50,50,3.100000,77.5000
kimi-for-coding,MiniMax-M3,2,all,50,50,3.040000,76.0000
kimi-for-coding,"mean(deepseek-v4-pro,MiniMax-M3)",2,all,50,100,3.070000,76.7500
kimi-for-coding,deepseek-v4-pro,2,part1_first_30,30,30,3.300000,82.5000
kimi-for-coding,MiniMax-M3,2,part1_first_30,30,30,3.200000,80.0000
kimi-for-coding,"mean(deepseek-v4-pro,MiniMax-M3)",2,part1_first_30,30,60,3.250000,81.2500
kimi-for-coding,deepseek-v4-pro,2,part2_last_20,20,20,2.800000,70.0000
kimi-for-coding,MiniMax-M3,2,part2_last_20,20,20,2.800000,70.0000
kimi-for-coding,"mean(deepseek-v4-pro,MiniMax-M3)",2,part2_last_20,20,40,2.800000,70.0000
kimi-for-coding,deepseek-v4-pro,3,all,50,50,3.040000,76.0000
kimi-for-coding,MiniMax-M3,3,all,50,50,3.080000,77.0000
kimi-for-coding,"mean(deepseek-v4-pro,MiniMax-M3)",3,all,50,100,3.060000,76.5000
kimi-for-coding,deepseek-v4-pro,3,part1_first_30,30,30,3.366667,84.1667
kimi-for-coding,MiniMax-M3,3,part1_first_30,30,30,3.433333,85.8333
kimi-for-coding,"mean(deepseek-v4-pro,MiniMax-M3)",3,part1_first_30,30,60,3.400000,85.0000
kimi-for-coding,deepseek-v4-pro,3,part2_last_20,20,20,2.550000,63.7500
kimi-for-coding,MiniMax-M3,3,part2_last_20,20,20,2.550000,63.7500
kimi-for-coding,"mean(deepseek-v4-pro,MiniMax-M3)",3,part2_last_20,20,40,2.550000,63.7500
kimi-for-coding,deepseek-v4-pro,aggregate,all,150,150,3.066667,76.6667
kimi-for-coding,MiniMax-M3,aggregate,all,150,150,3.046667,76.1667
kimi-for-coding,"mean(deepseek-v4-pro,MiniMax-M3)",aggregate,all,150,300,3.056667,76.4167
kimi-for-coding,deepseek-v4-pro,aggregate,part1_first_30,90,90,3.344444,83.6111
kimi-for-coding,MiniMax-M3,aggregate,part1_first_30,90,90,3.322222,83.0556
kimi-for-coding,"mean(deepseek-v4-pro,MiniMax-M3)",aggregate,part1_first_30,90,180,3.333333,83.3333
kimi-for-coding,deepseek-v4-pro,aggregate,part2_last_20,60,60,2.650000,66.2500
kimi-for-coding,MiniMax-M3,aggregate,part2_last_20,60,60,2.633333,65.8333
kimi-for-coding,"mean(deepseek-v4-pro,MiniMax-M3)",aggregate,part2_last_20,60,120,2.641667,66.0417
