rank,model,thinking_effort,part1,part2,overall
1,Claude Opus 5,high,98.3333,87.5000,94.0000
2,Claude Opus 5,xhigh,95.4167,90.0000,93.2500
3,Claude Fable 5,max,95.8333,86.8750,92.2500
4,Claude Opus 5,max,95.0000,87.9167,92.1667
5,Claude Opus 5,medium,92.7778,82.9167,88.8333
6,Claude Opus 4.8,max,92.5000,80.6250,87.7500
7,Qwen 3.8 Max Preview,provider default,97.9167,71.6667,87.4167
8,GPT 5.6 Sol Pro,max,91.8056,77.0833,85.9167
9,Gemini 3.1 Pro,high,90.0000,66.8750,80.7500
10,GPT 5.5,max,85.0000,72.0833,79.8333
11,Kimi K3,max,83.3333,66.0417,76.4167
12,Kimi K2.7,default,81.8056,65.0000,75.0833
13,MiniMax M3,ultra,60.0000,53.7500,57.5000
