answer_model_name,judge_model,rollout,part,n_unique_answers,n_judgments,avg_score_0_to_4,avg_percent
gpt-5.6-sol-pro-thinking-max[direct],deepseek-v4-pro,1,part1_first_30,30,30,3.800000,95.0000
gpt-5.6-sol-pro-thinking-max[direct],MiniMax-M3,1,part1_first_30,30,30,3.733333,93.3333
gpt-5.6-sol-pro-thinking-max[direct],"mean(deepseek-v4-pro,MiniMax-M3)",1,part1_first_30,30,60,3.766667,94.1667
gpt-5.6-sol-pro-thinking-max[direct],deepseek-v4-pro,1,part2_last_20,20,20,3.050000,76.2500
gpt-5.6-sol-pro-thinking-max[direct],MiniMax-M3,1,part2_last_20,20,20,3.050000,76.2500
gpt-5.6-sol-pro-thinking-max[direct],"mean(deepseek-v4-pro,MiniMax-M3)",1,part2_last_20,20,40,3.050000,76.2500
gpt-5.6-sol-pro-thinking-max[direct],deepseek-v4-pro,1,all,50,50,3.500000,87.5000
gpt-5.6-sol-pro-thinking-max[direct],MiniMax-M3,1,all,50,50,3.460000,86.5000
gpt-5.6-sol-pro-thinking-max[direct],"mean(deepseek-v4-pro,MiniMax-M3)",1,all,50,100,3.480000,87.0000
gpt-5.6-sol-pro-thinking-max[direct],deepseek-v4-pro,2,part1_first_30,30,30,3.866667,96.6667
gpt-5.6-sol-pro-thinking-max[direct],MiniMax-M3,2,part1_first_30,30,30,3.866667,96.6667
gpt-5.6-sol-pro-thinking-max[direct],"mean(deepseek-v4-pro,MiniMax-M3)",2,part1_first_30,30,60,3.866667,96.6667
gpt-5.6-sol-pro-thinking-max[direct],deepseek-v4-pro,2,part2_last_20,20,20,3.150000,78.7500
gpt-5.6-sol-pro-thinking-max[direct],MiniMax-M3,2,part2_last_20,20,20,2.900000,72.5000
gpt-5.6-sol-pro-thinking-max[direct],"mean(deepseek-v4-pro,MiniMax-M3)",2,part2_last_20,20,40,3.025000,75.6250
gpt-5.6-sol-pro-thinking-max[direct],deepseek-v4-pro,2,all,50,50,3.580000,89.5000
gpt-5.6-sol-pro-thinking-max[direct],MiniMax-M3,2,all,50,50,3.480000,87.0000
gpt-5.6-sol-pro-thinking-max[direct],"mean(deepseek-v4-pro,MiniMax-M3)",2,all,50,100,3.530000,88.2500
gpt-5.6-sol-pro-thinking-max[direct],deepseek-v4-pro,3,part1_first_30,30,30,3.733333,93.3333
gpt-5.6-sol-pro-thinking-max[direct],MiniMax-M3,3,part1_first_30,30,30,3.766667,94.1667
gpt-5.6-sol-pro-thinking-max[direct],"mean(deepseek-v4-pro,MiniMax-M3)",3,part1_first_30,30,60,3.750000,93.7500
gpt-5.6-sol-pro-thinking-max[direct],deepseek-v4-pro,3,part2_last_20,20,20,3.150000,78.7500
gpt-5.6-sol-pro-thinking-max[direct],MiniMax-M3,3,part2_last_20,20,20,3.200000,80.0000
gpt-5.6-sol-pro-thinking-max[direct],"mean(deepseek-v4-pro,MiniMax-M3)",3,part2_last_20,20,40,3.175000,79.3750
gpt-5.6-sol-pro-thinking-max[direct],deepseek-v4-pro,3,all,50,50,3.500000,87.5000
gpt-5.6-sol-pro-thinking-max[direct],MiniMax-M3,3,all,50,50,3.540000,88.5000
gpt-5.6-sol-pro-thinking-max[direct],"mean(deepseek-v4-pro,MiniMax-M3)",3,all,50,100,3.520000,88.0000
gpt-5.6-sol-pro-thinking-max[direct],deepseek-v4-pro,aggregate,part1_first_30,90,90,3.800000,95.0000
gpt-5.6-sol-pro-thinking-max[direct],MiniMax-M3,aggregate,part1_first_30,90,90,3.788889,94.7222
gpt-5.6-sol-pro-thinking-max[direct],"mean(deepseek-v4-pro,MiniMax-M3)",aggregate,part1_first_30,90,180,3.794444,94.8611
gpt-5.6-sol-pro-thinking-max[direct],deepseek-v4-pro,aggregate,part2_last_20,60,60,3.116667,77.9167
gpt-5.6-sol-pro-thinking-max[direct],MiniMax-M3,aggregate,part2_last_20,60,60,3.050000,76.2500
gpt-5.6-sol-pro-thinking-max[direct],"mean(deepseek-v4-pro,MiniMax-M3)",aggregate,part2_last_20,60,120,3.083333,77.0833
gpt-5.6-sol-pro-thinking-max[direct],deepseek-v4-pro,aggregate,all,150,150,3.526667,88.1667
gpt-5.6-sol-pro-thinking-max[direct],MiniMax-M3,aggregate,all,150,150,3.493333,87.3333
gpt-5.6-sol-pro-thinking-max[direct],"mean(deepseek-v4-pro,MiniMax-M3)",aggregate,all,150,300,3.510000,87.7500
