judge_family,source_judge_runs,answer_model_family,rollout,part,n_answers,n_judgments,avg_score_0_to_4,avg_percent,score_distribution
minimax,minimax-m3-fair-20260701,claude,1,part1_first_30,30,30,3.7,92.5,"{""0"": 2, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 27}"
minimax,minimax-m3-fair-20260701,claude,1,part2_last_20,20,20,3,75,"{""0"": 1, ""1"": 3, ""2"": 2, ""3"": 3, ""4"": 11}"
minimax,minimax-m3-fair-20260701,claude,1,all,50,50,3.42,85.5,"{""0"": 3, ""1"": 3, ""2"": 2, ""3"": 4, ""4"": 38}"
minimax,minimax-m3-fair-20260701,claude,2,part1_first_30,30,30,3.7,92.5,"{""0"": 2, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 27}"
minimax,minimax-m3-fair-20260701,claude,2,part2_last_20,20,20,3.2,80,"{""0"": 0, ""1"": 4, ""2"": 1, ""3"": 2, ""4"": 13}"
minimax,minimax-m3-fair-20260701,claude,2,all,50,50,3.5,87.5,"{""0"": 2, ""1"": 4, ""2"": 1, ""3"": 3, ""4"": 40}"
minimax,minimax-m3-fair-20260701,claude,3,part1_first_30,30,30,3.7,92.5,"{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 2, ""4"": 26}"
minimax,minimax-m3-fair-20260701,claude,3,part2_last_20,20,20,3.25,81.25,"{""0"": 0, ""1"": 3, ""2"": 2, ""3"": 2, ""4"": 13}"
minimax,minimax-m3-fair-20260701,claude,3,all,50,50,3.52,88,"{""0"": 1, ""1"": 4, ""2"": 2, ""3"": 4, ""4"": 39}"
minimax,minimax-m3-fair-20260701,gemini,1,part1_first_30,30,30,3.66667,91.6667,"{""0"": 1, ""1"": 0, ""2"": 1, ""3"": 4, ""4"": 24}"
minimax,minimax-m3-fair-20260701,gemini,1,part2_last_20,20,20,2.7,67.5,"{""0"": 1, ""1"": 5, ""2"": 1, ""3"": 5, ""4"": 8}"
minimax,minimax-m3-fair-20260701,gemini,1,all,50,50,3.28,82,"{""0"": 2, ""1"": 5, ""2"": 2, ""3"": 9, ""4"": 32}"
minimax,minimax-m3-fair-20260701,gemini,2,part1_first_30,30,30,3.53333,88.3333,"{""0"": 1, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 23}"
minimax,minimax-m3-fair-20260701,gemini,2,part2_last_20,20,20,2.7,67.5,"{""0"": 1, ""1"": 5, ""2"": 3, ""3"": 1, ""4"": 10}"
minimax,minimax-m3-fair-20260701,gemini,2,all,50,50,3.2,80,"{""0"": 2, ""1"": 6, ""2"": 5, ""3"": 4, ""4"": 33}"
minimax,minimax-m3-fair-20260701,gemini,3,part1_first_30,30,30,3.46667,86.6667,"{""0"": 2, ""1"": 0, ""2"": 1, ""3"": 6, ""4"": 21}"
minimax,minimax-m3-fair-20260701,gemini,3,part2_last_20,20,20,2.5,62.5,"{""0"": 0, ""1"": 7, ""2"": 3, ""3"": 3, ""4"": 7}"
minimax,minimax-m3-fair-20260701,gemini,3,all,50,50,3.08,77,"{""0"": 2, ""1"": 7, ""2"": 4, ""3"": 9, ""4"": 28}"
minimax,minimax-m3-fair-20260701,gpt,1,part1_first_30,30,30,3.4,85,"{""0"": 2, ""1"": 2, ""2"": 1, ""3"": 2, ""4"": 23}"
minimax,minimax-m3-fair-20260701,gpt,1,part2_last_20,20,20,2.95,73.75,"{""0"": 0, ""1"": 4, ""2"": 3, ""3"": 3, ""4"": 10}"
minimax,minimax-m3-fair-20260701,gpt,1,all,50,50,3.22,80.5,"{""0"": 2, ""1"": 6, ""2"": 4, ""3"": 5, ""4"": 33}"
minimax,minimax-m3-fair-20260701,gpt,2,part1_first_30,30,30,3.43333,85.8333,"{""0"": 2, ""1"": 1, ""2"": 3, ""3"": 0, ""4"": 24}"
minimax,minimax-m3-fair-20260701,gpt,2,part2_last_20,20,20,2.4,60,"{""0"": 1, ""1"": 7, ""2"": 2, ""3"": 3, ""4"": 7}"
minimax,minimax-m3-fair-20260701,gpt,2,all,50,50,3.02,75.5,"{""0"": 3, ""1"": 8, ""2"": 5, ""3"": 3, ""4"": 31}"
minimax,minimax-m3-fair-20260701,gpt,3,part1_first_30,30,30,3.46667,86.6667,"{""0"": 1, ""1"": 3, ""2"": 0, ""3"": 3, ""4"": 23}"
minimax,minimax-m3-fair-20260701,gpt,3,part2_last_20,20,20,3.05,76.25,"{""0"": 1, ""1"": 3, ""2"": 1, ""3"": 4, ""4"": 11}"
minimax,minimax-m3-fair-20260701,gpt,3,all,50,50,3.3,82.5,"{""0"": 2, ""1"": 6, ""2"": 1, ""3"": 7, ""4"": 34}"
deepseek,deepseek-v4-pro-fair-20260701,claude,1,part1_first_30,30,30,3.66667,91.6667,"{""0"": 2, ""1"": 0, ""2"": 0, ""3"": 2, ""4"": 26}"
deepseek,deepseek-v4-pro-fair-20260701,claude,1,part2_last_20,20,20,3.15,78.75,"{""0"": 0, ""1"": 3, ""2"": 3, ""3"": 2, ""4"": 12}"
deepseek,deepseek-v4-pro-fair-20260701,claude,1,all,50,50,3.46,86.5,"{""0"": 2, ""1"": 3, ""2"": 3, ""3"": 4, ""4"": 38}"
deepseek,deepseek-v4-pro-fair-20260701,claude,2,part1_first_30,30,30,3.7,92.5,"{""0"": 2, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 27}"
deepseek,deepseek-v4-pro-fair-20260701,claude,2,part2_last_20,20,20,3.4,85,"{""0"": 0, ""1"": 1, ""2"": 3, ""3"": 3, ""4"": 13}"
deepseek,deepseek-v4-pro-fair-20260701,claude,2,all,50,50,3.58,89.5,"{""0"": 2, ""1"": 1, ""2"": 3, ""3"": 4, ""4"": 40}"
deepseek,deepseek-v4-pro-fair-20260701,claude,3,part1_first_30,30,30,3.73333,93.3333,"{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 1, ""4"": 27}"
deepseek,deepseek-v4-pro-fair-20260701,claude,3,part2_last_20,20,20,3.35,83.75,"{""0"": 0, ""1"": 1, ""2"": 4, ""3"": 2, ""4"": 13}"
deepseek,deepseek-v4-pro-fair-20260701,claude,3,all,50,50,3.58,89.5,"{""0"": 1, ""1"": 2, ""2"": 4, ""3"": 3, ""4"": 40}"
deepseek,deepseek-v4-pro-fair-20260701,gemini,1,part1_first_30,30,30,3.76667,94.1667,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 3, ""4"": 26}"
deepseek,deepseek-v4-pro-fair-20260701,gemini,1,part2_last_20,20,20,2.8,70,"{""0"": 0, ""1"": 5, ""2"": 3, ""3"": 3, ""4"": 9}"
deepseek,deepseek-v4-pro-fair-20260701,gemini,1,all,50,50,3.38,84.5,"{""0"": 1, ""1"": 5, ""2"": 3, ""3"": 6, ""4"": 35}"
deepseek,deepseek-v4-pro-fair-20260701,gemini,2,part1_first_30,30,30,3.6,90,"{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 5, ""4"": 23}"
deepseek,deepseek-v4-pro-fair-20260701,gemini,2,part2_last_20,20,20,2.7,67.5,"{""0"": 0, ""1"": 5, ""2"": 4, ""3"": 3, ""4"": 8}"
deepseek,deepseek-v4-pro-fair-20260701,gemini,2,all,50,50,3.24,81,"{""0"": 1, ""1"": 6, ""2"": 4, ""3"": 8, ""4"": 31}"
deepseek,deepseek-v4-pro-fair-20260701,gemini,3,part1_first_30,30,30,3.56667,89.1667,"{""0"": 2, ""1"": 0, ""2"": 0, ""3"": 5, ""4"": 23}"
deepseek,deepseek-v4-pro-fair-20260701,gemini,3,part2_last_20,20,20,2.65,66.25,"{""0"": 0, ""1"": 6, ""2"": 3, ""3"": 3, ""4"": 8}"
deepseek,deepseek-v4-pro-fair-20260701,gemini,3,all,50,50,3.2,80,"{""0"": 2, ""1"": 6, ""2"": 3, ""3"": 8, ""4"": 31}"
deepseek,deepseek-v4-pro-fair-20260701,gpt,1,part1_first_30,30,30,3.36667,84.1667,"{""0"": 3, ""1"": 2, ""2"": 0, ""3"": 1, ""4"": 24}"
deepseek,deepseek-v4-pro-fair-20260701,gpt,1,part2_last_20,20,20,3.05,76.25,"{""0"": 0, ""1"": 3, ""2"": 3, ""3"": 4, ""4"": 10}"
deepseek,deepseek-v4-pro-fair-20260701,gpt,1,all,50,50,3.24,81,"{""0"": 3, ""1"": 5, ""2"": 3, ""3"": 5, ""4"": 34}"
deepseek,deepseek-v4-pro-fair-20260701,gpt,2,part1_first_30,30,30,3.3,82.5,"{""0"": 4, ""1"": 1, ""2"": 1, ""3"": 0, ""4"": 24}"
deepseek,deepseek-v4-pro-fair-20260701,gpt,2,part2_last_20,20,20,2.55,63.75,"{""0"": 0, ""1"": 7, ""2"": 4, ""3"": 0, ""4"": 9}"
deepseek,deepseek-v4-pro-fair-20260701,gpt,2,all,50,50,3,75,"{""0"": 4, ""1"": 8, ""2"": 5, ""3"": 0, ""4"": 33}"
deepseek,deepseek-v4-pro-fair-20260701,gpt,3,part1_first_30,30,30,3.43333,85.8333,"{""0"": 3, ""1"": 1, ""2"": 0, ""3"": 2, ""4"": 24}"
deepseek,deepseek-v4-pro-fair-20260701,gpt,3,part2_last_20,20,20,3.3,82.5,"{""0"": 0, ""1"": 2, ""2"": 3, ""3"": 2, ""4"": 13}"
deepseek,deepseek-v4-pro-fair-20260701,gpt,3,all,50,50,3.38,84.5,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 4, ""4"": 37}"
