judge_model,source_judge_runs,answer_model_family,answer_model_name,rollout,part,n_answers,n_judgments,avg_score_0_to_4,avg_percent,score_distribution
deepseek-v4-pro,deepseek-v4-pro-20260718/kimi-k3-209566-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-3.deepseek-v4-pro.scores.jsonl,kimi,kimi-for-coding,1,all,50,50,3.06,76.5,"{""0"": 2, ""1"": 8, ""2"": 6, ""3"": 3, ""4"": 31}"
deepseek-v4-pro,deepseek-v4-pro-20260718/kimi-k3-209566-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-3.deepseek-v4-pro.scores.jsonl,kimi,kimi-for-coding,1,part1_first_30,30,30,3.36667,84.1667,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 1, ""4"": 23}"
deepseek-v4-pro,deepseek-v4-pro-20260718/kimi-k3-209566-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-3.deepseek-v4-pro.scores.jsonl,kimi,kimi-for-coding,1,part2_last_20,20,20,2.6,65,"{""0"": 0, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 8}"
deepseek-v4-pro,deepseek-v4-pro-20260718/kimi-k3-209566-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-3.deepseek-v4-pro.scores.jsonl,kimi,kimi-for-coding,2,all,50,50,3.1,77.5,"{""0"": 2, ""1"": 7, ""2"": 6, ""3"": 4, ""4"": 31}"
deepseek-v4-pro,deepseek-v4-pro-20260718/kimi-k3-209566-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-3.deepseek-v4-pro.scores.jsonl,kimi,kimi-for-coding,2,part1_first_30,30,30,3.3,82.5,"{""0"": 2, ""1"": 3, ""2"": 2, ""3"": 0, ""4"": 23}"
deepseek-v4-pro,deepseek-v4-pro-20260718/kimi-k3-209566-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-3.deepseek-v4-pro.scores.jsonl,kimi,kimi-for-coding,2,part2_last_20,20,20,2.8,70,"{""0"": 0, ""1"": 4, ""2"": 4, ""3"": 4, ""4"": 8}"
deepseek-v4-pro,deepseek-v4-pro-20260718/kimi-k3-209566-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-3.deepseek-v4-pro.scores.jsonl,kimi,kimi-for-coding,3,all,50,50,3.04,76,"{""0"": 2, ""1"": 10, ""2"": 2, ""3"": 6, ""4"": 30}"
deepseek-v4-pro,deepseek-v4-pro-20260718/kimi-k3-209566-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-3.deepseek-v4-pro.scores.jsonl,kimi,kimi-for-coding,3,part1_first_30,30,30,3.36667,84.1667,"{""0"": 2, ""1"": 3, ""2"": 0, ""3"": 2, ""4"": 23}"
deepseek-v4-pro,deepseek-v4-pro-20260718/kimi-k3-209566-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-3.deepseek-v4-pro.scores.jsonl,kimi,kimi-for-coding,3,part2_last_20,20,20,2.55,63.75,"{""0"": 0, ""1"": 7, ""2"": 2, ""3"": 4, ""4"": 7}"
MiniMax-M3,minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-3.minimax-m3-no-thinking.scores.jsonl,kimi,kimi-for-coding,1,all,50,50,3.02,75.5,"{""0"": 2, ""1"": 12, ""2"": 2, ""3"": 1, ""4"": 33}"
MiniMax-M3,minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-3.minimax-m3-no-thinking.scores.jsonl,kimi,kimi-for-coding,1,part1_first_30,30,30,3.33333,83.3333,"{""0"": 2, ""1"": 3, ""2"": 1, ""3"": 1, ""4"": 23}"
MiniMax-M3,minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-3.minimax-m3-no-thinking.scores.jsonl,kimi,kimi-for-coding,1,part2_last_20,20,20,2.55,63.75,"{""0"": 0, ""1"": 9, ""2"": 1, ""3"": 0, ""4"": 10}"
MiniMax-M3,minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-3.minimax-m3-no-thinking.scores.jsonl,kimi,kimi-for-coding,2,all,50,50,3.04,76,"{""0"": 3, ""1"": 8, ""2"": 4, ""3"": 4, ""4"": 31}"
MiniMax-M3,minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-3.minimax-m3-no-thinking.scores.jsonl,kimi,kimi-for-coding,2,part1_first_30,30,30,3.2,80,"{""0"": 3, ""1"": 3, ""2"": 1, ""3"": 1, ""4"": 22}"
MiniMax-M3,minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-3.minimax-m3-no-thinking.scores.jsonl,kimi,kimi-for-coding,2,part2_last_20,20,20,2.8,70,"{""0"": 0, ""1"": 5, ""2"": 3, ""3"": 3, ""4"": 9}"
MiniMax-M3,minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-3.minimax-m3-no-thinking.scores.jsonl,kimi,kimi-for-coding,3,all,50,50,3.08,77,"{""0"": 1, ""1"": 12, ""2"": 2, ""3"": 2, ""4"": 33}"
MiniMax-M3,minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-3.minimax-m3-no-thinking.scores.jsonl,kimi,kimi-for-coding,3,part1_first_30,30,30,3.43333,85.8333,"{""0"": 1, ""1"": 4, ""2"": 0, ""3"": 1, ""4"": 24}"
MiniMax-M3,minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-3.minimax-m3-no-thinking.scores.jsonl,kimi,kimi-for-coding,3,part2_last_20,20,20,2.55,63.75,"{""0"": 0, ""1"": 8, ""2"": 2, ""3"": 1, ""4"": 9}"
deepseek-v4-pro,deepseek-v4-pro-20260718/kimi-k3-209566-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-3.deepseek-v4-pro.scores.jsonl,kimi,kimi-for-coding,aggregate,all,150,150,3.06667,76.6667,"{""0"": 6, ""1"": 25, ""2"": 14, ""3"": 13, ""4"": 92}"
deepseek-v4-pro,deepseek-v4-pro-20260718/kimi-k3-209566-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-3.deepseek-v4-pro.scores.jsonl,kimi,kimi-for-coding,aggregate,part1_first_30,90,90,3.34444,83.6111,"{""0"": 6, ""1"": 8, ""2"": 4, ""3"": 3, ""4"": 69}"
deepseek-v4-pro,deepseek-v4-pro-20260718/kimi-k3-209566-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260718/kimi-k3-209566-rollout-3.deepseek-v4-pro.scores.jsonl,kimi,kimi-for-coding,aggregate,part2_last_20,60,60,2.65,66.25,"{""0"": 0, ""1"": 17, ""2"": 10, ""3"": 10, ""4"": 23}"
MiniMax-M3,minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260718/kimi-k3-209566-rollout-3.minimax-m3-no-thinking.scores.jsonl,kimi,kimi-for-coding,aggregate,all,150,150,3.04667,76.1667,"{""0"": 6, ""1"": 32, ""2"": 8, ""3"": 7, ""4"": 97}"
