judge,rollout,part1,part2,overall
DeepSeek V4 Pro,1,98.33333333,91.25,95.5
DeepSeek V4 Pro,2,97.5,90,94.5
DeepSeek V4 Pro,3,100,86.25,94.5
DeepSeek V4 Pro,weighted,98.61111111,89.16666667,94.83333333
MiniMax M3 no-thinking,1,97.5,83.75,92
MiniMax M3 no-thinking,2,97.5,85,92.5
MiniMax M3 no-thinking,3,99.16666667,88.75,95
MiniMax M3 no-thinking,weighted,98.05555556,85.83333333,93.16666667
Mean of DeepSeek and MiniMax,1,97.91666667,87.5,93.75
Mean of DeepSeek and MiniMax,2,97.5,87.5,93.5
Mean of DeepSeek and MiniMax,3,99.58333333,87.5,94.75
Mean of DeepSeek and MiniMax,weighted,98.33333333,87.5,94
