model,judge,rollout,part1,part2,overall
Claude Sonnet 4.6,MiniMax M3,1,66.66666666666666,51.24999999999999,60.5
Claude Sonnet 4.6,MiniMax M3,2,65.0,51.24999999999999,59.5
Claude Sonnet 4.6,MiniMax M3,3,70.83333333333334,52.5,63.5
Claude Sonnet 4.6,DeepSeek V4 Pro,1,70.0,53.75,63.5
Claude Sonnet 4.6,DeepSeek V4 Pro,2,67.5,57.49999999999999,63.5
Claude Sonnet 4.6,DeepSeek V4 Pro,3,72.5,57.49999999999999,66.5
Doubao Seed 2.1 Pro,MiniMax M3,1,90.0,68.75,81.5
Doubao Seed 2.1 Pro,MiniMax M3,2,91.66666666666666,73.75,84.5
Doubao Seed 2.1 Pro,MiniMax M3,3,90.83333333333333,71.25,83.0
Doubao Seed 2.1 Pro,DeepSeek V4 Pro,1,93.33333333333333,71.25,84.5
Doubao Seed 2.1 Pro,DeepSeek V4 Pro,2,91.66666666666666,75.0,85.0
Doubao Seed 2.1 Pro,DeepSeek V4 Pro,3,89.16666666666667,75.0,83.5
GPT-4o,MiniMax M3,1,35.833333333333336,42.5,38.5
GPT-4o,MiniMax M3,2,43.333333333333336,36.25,40.5
GPT-4o,MiniMax M3,3,39.166666666666664,35.0,37.5
GPT-4o,DeepSeek V4 Pro,1,40.833333333333336,47.5,43.5
GPT-4o,DeepSeek V4 Pro,2,48.333333333333336,42.5,46.0
GPT-4o,DeepSeek V4 Pro,3,41.66666666666667,48.75,44.5
GPT-5.2,MiniMax M3,1,81.66666666666667,55.00000000000001,71.0
GPT-5.2,MiniMax M3,2,78.33333333333333,67.5,74.0
GPT-5.2,MiniMax M3,3,77.5,58.75,70.0
GPT-5.2,DeepSeek V4 Pro,1,80.83333333333333,53.75,70.0
GPT-5.2,DeepSeek V4 Pro,2,81.66666666666667,65.0,75.0
GPT-5.2,DeepSeek V4 Pro,3,76.66666666666667,60.0,70.0
GPT-5.3,MiniMax M3,1,85.0,60.0,75.0
GPT-5.3,MiniMax M3,2,89.16666666666667,71.25,82.0
GPT-5.3,MiniMax M3,3,84.16666666666667,60.0,74.5
GPT-5.3,DeepSeek V4 Pro,1,84.16666666666667,66.25,77.0
GPT-5.3,DeepSeek V4 Pro,2,87.5,73.75,82.0
GPT-5.3,DeepSeek V4 Pro,3,82.5,63.74999999999999,75.0
GPT-5.6 Terra,MiniMax M3,1,90.0,70.0,82.0
GPT-5.6 Terra,MiniMax M3,2,92.5,80.0,87.5
GPT-5.6 Terra,MiniMax M3,3,94.16666666666667,73.75,86.0
GPT-5.6 Terra,DeepSeek V4 Pro,1,91.66666666666666,76.25,85.5
GPT-5.6 Terra,DeepSeek V4 Pro,2,93.33333333333333,77.5,87.0
GPT-5.6 Terra,DeepSeek V4 Pro,3,88.33333333333333,78.75,84.5
Gemini 3.6 Flash,MiniMax M3,1,91.66666666666666,73.75,84.5
Gemini 3.6 Flash,MiniMax M3,2,94.16666666666667,75.0,86.5
Gemini 3.6 Flash,MiniMax M3,3,90.83333333333333,73.75,84.0
Gemini 3.6 Flash,DeepSeek V4 Pro,1,95.0,75.0,87.0
Gemini 3.6 Flash,DeepSeek V4 Pro,2,94.16666666666667,78.75,88.0
Gemini 3.6 Flash,DeepSeek V4 Pro,3,91.66666666666666,76.25,85.5
Grok 4.5,MiniMax M3,1,89.16666666666667,70.0,81.5
Grok 4.5,MiniMax M3,2,91.66666666666666,71.25,83.5
Grok 4.5,MiniMax M3,3,91.66666666666666,72.5,84.0
Grok 4.5,DeepSeek V4 Pro,1,93.33333333333333,73.75,85.5
Grok 4.5,DeepSeek V4 Pro,2,93.33333333333333,75.0,86.0
Grok 4.5,DeepSeek V4 Pro,3,91.66666666666666,72.5,84.0
Inkling,MiniMax M3,1,48.333333333333336,46.25,47.5
Inkling,MiniMax M3,2,42.5,52.5,46.5
Inkling,MiniMax M3,3,45.0,36.25,41.5
Inkling,DeepSeek V4 Pro,1,50.0,56.25,52.5
Inkling,DeepSeek V4 Pro,2,44.166666666666664,52.5,47.5
Inkling,DeepSeek V4 Pro,3,51.66666666666667,43.75,48.5
Inkling Small,MiniMax M3,1,79.16666666666666,57.49999999999999,70.5
Inkling Small,MiniMax M3,2,85.0,58.75,74.5
Inkling Small,MiniMax M3,3,78.33333333333333,67.5,74.0
Inkling Small,DeepSeek V4 Pro,1,80.0,67.5,75.0
Inkling Small,DeepSeek V4 Pro,2,85.83333333333333,66.25,78.0
Inkling Small,DeepSeek V4 Pro,3,79.16666666666666,66.25,74.0
Llama 4 Maverick,MiniMax M3,1,49.166666666666664,51.24999999999999,50.0
Llama 4 Maverick,MiniMax M3,2,58.333333333333336,41.25,51.5
Llama 4 Maverick,MiniMax M3,3,49.166666666666664,43.75,47.0
Llama 4 Maverick,DeepSeek V4 Pro,1,54.166666666666664,51.24999999999999,53.0
Llama 4 Maverick,DeepSeek V4 Pro,2,60.83333333333333,42.5,53.5
