judge,rollout,part1,part2,overall
DeepSeek V4 Pro,1,92.5,92.5,92.5
DeepSeek V4 Pro,2,95.83333333,88.75,93
DeepSeek V4 Pro,3,95.83333333,86.25,92
DeepSeek V4 Pro,weighted,94.72222222,89.16666667,92.5
MiniMax M3 no-thinking,1,93.33333333,88.75,91.5
MiniMax M3 no-thinking,2,95.83333333,86.25,92
MiniMax M3 no-thinking,3,96.66666667,85,92
MiniMax M3 no-thinking,weighted,95.27777778,86.66666667,91.83333333
Mean of DeepSeek and MiniMax,1,92.91666667,90.625,92
Mean of DeepSeek and MiniMax,2,95.83333333,87.5,92.5
Mean of DeepSeek and MiniMax,3,96.25,85.625,92
Mean of DeepSeek and MiniMax,weighted,95,87.91666667,92.16666667
