judge,rollout,part1,part2,overall
DeepSeek V4 Pro,1,93.33333333,83.75,89.5
DeepSeek V4 Pro,2,90.0,81.25,86.5
DeepSeek V4 Pro,3,94.16666667,83.75,90.0
DeepSeek V4 Pro,weighted,92.5,82.91666667,88.66666667
MiniMax M3 no-thinking,1,92.5,83.75,89.0
MiniMax M3 no-thinking,2,91.66666667,81.25,87.5
MiniMax M3 no-thinking,3,95.0,83.75,90.5
MiniMax M3 no-thinking,weighted,93.05555556,82.91666667,89.0
Mean of DeepSeek and MiniMax,1,92.91666667,83.75,89.25
Mean of DeepSeek and MiniMax,2,90.83333333,81.25,87.0
Mean of DeepSeek and MiniMax,3,94.58333333,83.75,90.25
Mean of DeepSeek and MiniMax,weighted,92.77777778,82.91666667,88.83333333
