rank,mode,judge,model,thinking_effort,part1,part2,overall
1,direct_qa,DeepSeek V4 Pro,Claude Fable 5,max,96.6667,87.9167,93.1667
2,direct_qa,DeepSeek V4 Pro,Claude Opus 4.8,max,92.5,82.5,88.5
3,direct_qa,DeepSeek V4 Pro,GPT 5.6 Sol Pro,max,91.6667,77.9167,86.1667
4,direct_qa,DeepSeek V4 Pro,Gemini 3.1 Pro,high,91.1111,67.9167,81.8333
5,direct_qa,DeepSeek V4 Pro,GPT 5.5,max,84.1667,74.1667,80.1667
6,direct_qa,DeepSeek V4 Pro,Kimi K3,max,83.6111,66.25,76.6667
7,direct_qa,DeepSeek V4 Pro,Kimi K2.7,default,82.2222,66.6667,76.0
8,direct_qa,DeepSeek V4 Pro,MiniMax M3,ultra,62.5,55.0,59.5
1,direct_qa,MiniMax M3,Claude Fable 5,max,95.0,85.8333,91.3333
2,direct_qa,MiniMax M3,Claude Opus 4.8,max,92.5,78.75,87.0
3,direct_qa,MiniMax M3,GPT 5.6 Sol Pro,max,91.9444,76.25,85.6667
4,direct_qa,MiniMax M3,Gemini 3.1 Pro,high,88.8889,65.8333,79.6667
5,direct_qa,MiniMax M3,GPT 5.5,max,85.8333,70.0,79.5
6,direct_qa,MiniMax M3,Kimi K3,max,83.0555,65.8333,76.1667
7,direct_qa,MiniMax M3,Kimi K2.7,default,81.3889,63.3333,74.1667
8,direct_qa,MiniMax M3,MiniMax M3,ultra,57.5,52.5,55.5
