model,judge,part1,part2,overall
Claude Sonnet 4.6,MiniMax M3,67.5,51.666666666666664,61.166666666666664
Claude Sonnet 4.6,DeepSeek V4 Pro,70.0,56.25,64.5
Claude Sonnet 4.6,Mean of DeepSeek and MiniMax,68.75,53.95833333333333,62.83333333333333
Doubao Seed 2.1 Pro,MiniMax M3,90.83333333333333,71.25,83.0
Doubao Seed 2.1 Pro,DeepSeek V4 Pro,91.3888888888889,73.75,84.33333333333333
Doubao Seed 2.1 Pro,Mean of DeepSeek and MiniMax,91.11111111111111,72.5,83.66666666666666
GPT-4o,MiniMax M3,39.44444444444445,37.916666666666664,38.833333333333336
GPT-4o,DeepSeek V4 Pro,43.611111111111114,46.25,44.666666666666664
GPT-4o,Mean of DeepSeek and MiniMax,41.527777777777786,42.08333333333333,41.75
GPT-5.2,MiniMax M3,79.16666666666667,60.416666666666664,71.66666666666667
GPT-5.2,DeepSeek V4 Pro,79.72222222222223,59.583333333333336,71.66666666666667
GPT-5.2,Mean of DeepSeek and MiniMax,79.44444444444446,60.0,71.66666666666667
GPT-5.3,MiniMax M3,86.11111111111113,63.75,77.16666666666667
GPT-5.3,DeepSeek V4 Pro,84.72222222222223,67.91666666666667,78.0
GPT-5.3,Mean of DeepSeek and MiniMax,85.41666666666669,65.83333333333334,77.58333333333334
GPT-5.6 Terra,MiniMax M3,92.22222222222223,74.58333333333333,85.16666666666667
GPT-5.6 Terra,DeepSeek V4 Pro,91.1111111111111,77.5,85.66666666666667
GPT-5.6 Terra,Mean of DeepSeek and MiniMax,91.66666666666666,76.04166666666666,85.41666666666667
Gemini 3.6 Flash,MiniMax M3,92.22222222222221,74.16666666666667,85.0
Gemini 3.6 Flash,DeepSeek V4 Pro,93.61111111111113,76.66666666666667,86.83333333333333
Gemini 3.6 Flash,Mean of DeepSeek and MiniMax,92.91666666666667,75.41666666666667,85.91666666666666
Grok 4.5,MiniMax M3,90.83333333333333,71.25,83.0
Grok 4.5,DeepSeek V4 Pro,92.77777777777777,73.75,85.16666666666667
Grok 4.5,Mean of DeepSeek and MiniMax,91.80555555555554,72.5,84.08333333333334
Inkling Small,MiniMax M3,80.83333333333333,61.25,73.0
Inkling Small,DeepSeek V4 Pro,81.66666666666666,66.66666666666667,75.66666666666667
Inkling Small,Mean of DeepSeek and MiniMax,81.25,63.958333333333336,74.33333333333334
