judge_model,source_judge_runs,answer_model_family,answer_model_name,rollout,part,n_answers,n_judgments,avg_score_0_to_4,avg_percent,score_distribution
deepseek-v4-pro,deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-3.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,claude,claude-fable-5[1m][proxy+direct],1,all,50,50,3.82,95.5,"{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 0, ""4"": 47}"
deepseek-v4-pro,deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-3.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,claude,claude-fable-5[1m][proxy+direct],1,part1_first_30,30,30,3.86667,96.6667,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 29}"
deepseek-v4-pro,deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-3.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,claude,claude-fable-5[1m][proxy+direct],1,part2_last_20,20,20,3.75,93.75,"{""0"": 0, ""1"": 1, ""2"": 1, ""3"": 0, ""4"": 18}"
deepseek-v4-pro,deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-3.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,claude,claude-fable-5[1m][proxy+direct],2,all,50,50,3.66,91.5,"{""0"": 1, ""1"": 3, ""2"": 2, ""3"": 0, ""4"": 44}"
deepseek-v4-pro,deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-3.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,claude,claude-fable-5[1m][proxy+direct],2,part1_first_30,30,30,3.86667,96.6667,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 29}"
deepseek-v4-pro,deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-3.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,claude,claude-fable-5[1m][proxy+direct],2,part2_last_20,20,20,3.35,83.75,"{""0"": 0, ""1"": 3, ""2"": 2, ""3"": 0, ""4"": 15}"
deepseek-v4-pro,deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-3.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,claude,claude-fable-5[1m][proxy+direct],3,all,50,50,3.7,92.5,"{""0"": 1, ""1"": 2, ""2"": 2, ""3"": 1, ""4"": 44}"
deepseek-v4-pro,deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-3.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,claude,claude-fable-5[1m][proxy+direct],3,part1_first_30,30,30,3.86667,96.6667,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 29}"
deepseek-v4-pro,deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-3.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,claude,claude-fable-5[1m][proxy+direct],3,part2_last_20,20,20,3.45,86.25,"{""0"": 0, ""1"": 2, ""2"": 2, ""3"": 1, ""4"": 15}"
deepseek-v4-pro,deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-3.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],1,all,50,50,3.42,85.5,"{""0"": 1, ""1"": 4, ""2"": 5, ""3"": 3, ""4"": 37}"
