source_uid,source_experiment,mode,harness,model_label,model_family,model_name,rollout,task_slug,answer_sha256,answer_chars,old_minimax_score_0_to_4,old_deepseek_score_0_to_4,old_minimax_golden_sha256,old_deepseek_golden_sha256,old_score_status
2026-06-26-direct-qa::direct_qa::claude-opus-4-8-thinking-max::rollout-1,2026-06-26-direct-qa,direct_qa,,Claude Opus 4.8 Thinking Max,claude,Claude Opus 4.8 Thinking Max,1,part1-015-malformed-cmos-inverter,3d915e6f51875b347a7a9fc19ebb20d426e0ea5689a8eef68143baa949996f50,2098,3,3,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
2026-06-26-direct-qa::direct_qa::claude-opus-4-8-thinking-max::rollout-2,2026-06-26-direct-qa,direct_qa,,Claude Opus 4.8 Thinking Max,claude,Claude Opus 4.8 Thinking Max,2,part1-015-malformed-cmos-inverter,531e31c9fe77d880defdb94faae9170b012da41455075e1400b26410fc8a1dbc,2132,2,3,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
2026-06-26-direct-qa::direct_qa::claude-opus-4-8-thinking-max::rollout-3,2026-06-26-direct-qa,direct_qa,,Claude Opus 4.8 Thinking Max,claude,Claude Opus 4.8 Thinking Max,3,part1-015-malformed-cmos-inverter,e55d49674a31e1fd315a6a92ac1dd55d963ad9f87029228ac21f4d17c0d04288,1807,3,3,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
2026-06-26-direct-qa::direct_qa::gemini-3-1-pro-cc-thinking-high::rollout-1,2026-06-26-direct-qa,direct_qa,,Gemini 3.1 Pro CC Thinking High,gemini,Gemini 3.1 Pro CC Thinking High,1,part1-015-malformed-cmos-inverter,f2040030ea50e3ca035c0cc6355655d11766d40647b274e66b51c6dc50a5b71c,1778,2,2,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
2026-06-26-direct-qa::direct_qa::gemini-3-1-pro-cc-thinking-high::rollout-2,2026-06-26-direct-qa,direct_qa,,Gemini 3.1 Pro CC Thinking High,gemini,Gemini 3.1 Pro CC Thinking High,2,part1-015-malformed-cmos-inverter,f2040030ea50e3ca035c0cc6355655d11766d40647b274e66b51c6dc50a5b71c,1778,2,2,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
2026-06-26-direct-qa::direct_qa::gemini-3-1-pro-cc-thinking-high::rollout-3,2026-06-26-direct-qa,direct_qa,,Gemini 3.1 Pro CC Thinking High,gemini,Gemini 3.1 Pro CC Thinking High,3,part1-015-malformed-cmos-inverter,3914aca5b113b1980cbee3edab68d50b9babf5e743bc769d55b078a6e5cfc8a8,1513,1,2,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
2026-06-26-direct-qa::direct_qa::gpt-5-5-thinking-xhigh::rollout-1,2026-06-26-direct-qa,direct_qa,,GPT-5.5 Thinking XHigh,gpt,GPT-5.5 Thinking XHigh,1,part1-015-malformed-cmos-inverter,315d3701bb13f68c220ce50115399f33aad94399447a9d943b5db3ad38c8344f,1010,3,3,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
2026-06-26-direct-qa::direct_qa::gpt-5-5-thinking-xhigh::rollout-2,2026-06-26-direct-qa,direct_qa,,GPT-5.5 Thinking XHigh,gpt,GPT-5.5 Thinking XHigh,2,part1-015-malformed-cmos-inverter,6590d7ac27a8f3f61d58ec81cd886080b1cf8f574325e6a7eb6336efed52111a,869,3,3,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
2026-06-26-direct-qa::direct_qa::gpt-5-5-thinking-xhigh::rollout-3,2026-06-26-direct-qa,direct_qa,,GPT-5.5 Thinking XHigh,gpt,GPT-5.5 Thinking XHigh,3,part1-015-malformed-cmos-inverter,078c3468450eedf0427c76c895f8b190ca1dc882e8a6569794d23ee834371c1a,821,3,3,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
2026-07-15-direct-qa::direct_qa::claude-fable-5-1m-proxy-plus-direct::rollout-1,2026-07-15-direct-qa,direct_qa,,claude-fable-5[1m][proxy+direct],claude,claude-fable-5[1m][proxy+direct],1,part1-015-malformed-cmos-inverter,72f992ccb89a669ce628f17d7b58bed25c13fb0817ee7f8a5b7c3d08b032c36f,2851,3,4,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
