source_uid,source_experiment,mode,model_key,model_label,model_family,model_name,rollout,judge_family,judge_model,part,n_judgments,old_avg_percent,new_avg_percent,delta_percent,new_avg_score_0_to_4,new_score_distribution
2026-06-26-direct-qa::direct_qa::claude-opus-4-8-thinking-max::rollout-1,2026-06-26-direct-qa,direct_qa,claude_opus_48,Claude Opus 4.8 Thinking Max,claude,Claude Opus 4.8 Thinking Max,1,minimax,MiniMax-M3,part1_first_30,30,95.0,92.5,-2.5,3.7,"{""0"": 2, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 27}"
2026-06-26-direct-qa::direct_qa::claude-opus-4-8-thinking-max::rollout-1,2026-06-26-direct-qa,direct_qa,claude_opus_48,Claude Opus 4.8 Thinking Max,claude,Claude Opus 4.8 Thinking Max,1,minimax,MiniMax-M3,all,50,87.0,85.5,-1.5,3.42,"{""0"": 3, ""1"": 3, ""2"": 2, ""3"": 4, ""4"": 38}"
2026-06-26-direct-qa::direct_qa::claude-opus-4-8-thinking-max::rollout-1,2026-06-26-direct-qa,direct_qa,claude_opus_48,Claude Opus 4.8 Thinking Max,claude,Claude Opus 4.8 Thinking Max,1,deepseek,deepseek-v4-pro,part1_first_30,30,94.16666666666667,91.66666666666666,-2.500000000000014,3.6666666666666665,"{""0"": 2, ""1"": 0, ""2"": 0, ""3"": 2, ""4"": 26}"
2026-06-26-direct-qa::direct_qa::claude-opus-4-8-thinking-max::rollout-1,2026-06-26-direct-qa,direct_qa,claude_opus_48,Claude Opus 4.8 Thinking Max,claude,Claude Opus 4.8 Thinking Max,1,deepseek,deepseek-v4-pro,all,50,88.0,86.5,-1.5,3.46,"{""0"": 2, ""1"": 3, ""2"": 3, ""3"": 4, ""4"": 38}"
2026-06-26-direct-qa::direct_qa::claude-opus-4-8-thinking-max::rollout-2,2026-06-26-direct-qa,direct_qa,claude_opus_48,Claude Opus 4.8 Thinking Max,claude,Claude Opus 4.8 Thinking Max,2,minimax,MiniMax-M3,part1_first_30,30,94.16666666666667,92.5,-1.6666666666666714,3.7,"{""0"": 2, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 27}"
2026-06-26-direct-qa::direct_qa::claude-opus-4-8-thinking-max::rollout-2,2026-06-26-direct-qa,direct_qa,claude_opus_48,Claude Opus 4.8 Thinking Max,claude,Claude Opus 4.8 Thinking Max,2,minimax,MiniMax-M3,all,50,88.5,87.5,-1.0,3.5,"{""0"": 2, ""1"": 4, ""2"": 1, ""3"": 3, ""4"": 40}"
2026-06-26-direct-qa::direct_qa::claude-opus-4-8-thinking-max::rollout-2,2026-06-26-direct-qa,direct_qa,claude_opus_48,Claude Opus 4.8 Thinking Max,claude,Claude Opus 4.8 Thinking Max,2,deepseek,deepseek-v4-pro,part1_first_30,30,95.0,92.5,-2.5,3.7,"{""0"": 2, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 27}"
2026-06-26-direct-qa::direct_qa::claude-opus-4-8-thinking-max::rollout-2,2026-06-26-direct-qa,direct_qa,claude_opus_48,Claude Opus 4.8 Thinking Max,claude,Claude Opus 4.8 Thinking Max,2,deepseek,deepseek-v4-pro,all,50,91.0,89.5,-1.5,3.58,"{""0"": 2, ""1"": 1, ""2"": 3, ""3"": 4, ""4"": 40}"
2026-06-26-direct-qa::direct_qa::claude-opus-4-8-thinking-max::rollout-3,2026-06-26-direct-qa,direct_qa,claude_opus_48,Claude Opus 4.8 Thinking Max,claude,Claude Opus 4.8 Thinking Max,3,minimax,MiniMax-M3,part1_first_30,30,95.0,92.5,-2.5,3.7,"{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 2, ""4"": 26}"
2026-06-26-direct-qa::direct_qa::claude-opus-4-8-thinking-max::rollout-3,2026-06-26-direct-qa,direct_qa,claude_opus_48,Claude Opus 4.8 Thinking Max,claude,Claude Opus 4.8 Thinking Max,3,minimax,MiniMax-M3,all,50,89.5,88.0,-1.5,3.52,"{""0"": 1, ""1"": 4, ""2"": 2, ""3"": 4, ""4"": 39}"
2026-06-26-direct-qa::direct_qa::claude-opus-4-8-thinking-max::rollout-3,2026-06-26-direct-qa,direct_qa,claude_opus_48,Claude Opus 4.8 Thinking Max,claude,Claude Opus 4.8 Thinking Max,3,deepseek,deepseek-v4-pro,part1_first_30,30,95.83333333333334,93.33333333333333,-2.500000000000014,3.7333333333333334,"{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 1, ""4"": 27}"
2026-06-26-direct-qa::direct_qa::claude-opus-4-8-thinking-max::rollout-3,2026-06-26-direct-qa,direct_qa,claude_opus_48,Claude Opus 4.8 Thinking Max,claude,Claude Opus 4.8 Thinking Max,3,deepseek,deepseek-v4-pro,all,50,91.0,89.5,-1.5,3.58,"{""0"": 1, ""1"": 2, ""2"": 4, ""3"": 3, ""4"": 40}"
2026-06-26-direct-qa::direct_qa::gemini-3-1-pro-cc-thinking-high::rollout-1,2026-06-26-direct-qa,direct_qa,gemini_31,Gemini 3.1 Pro CC Thinking High,gemini,Gemini 3.1 Pro CC Thinking High,1,minimax,MiniMax-M3,part1_first_30,30,93.33333333333333,91.66666666666666,-1.6666666666666714,3.6666666666666665,"{""0"": 1, ""1"": 0, ""2"": 1, ""3"": 4, ""4"": 24}"
2026-06-26-direct-qa::direct_qa::gemini-3-1-pro-cc-thinking-high::rollout-1,2026-06-26-direct-qa,direct_qa,gemini_31,Gemini 3.1 Pro CC Thinking High,gemini,Gemini 3.1 Pro CC Thinking High,1,minimax,MiniMax-M3,all,50,83.0,82.0,-1.0,3.28,"{""0"": 2, ""1"": 5, ""2"": 2, ""3"": 9, ""4"": 32}"
2026-06-26-direct-qa::direct_qa::gemini-3-1-pro-cc-thinking-high::rollout-1,2026-06-26-direct-qa,direct_qa,gemini_31,Gemini 3.1 Pro CC Thinking High,gemini,Gemini 3.1 Pro CC Thinking High,1,deepseek,deepseek-v4-pro,part1_first_30,30,95.83333333333334,94.16666666666667,-1.6666666666666714,3.7666666666666666,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 3, ""4"": 26}"
2026-06-26-direct-qa::direct_qa::gemini-3-1-pro-cc-thinking-high::rollout-1,2026-06-26-direct-qa,direct_qa,gemini_31,Gemini 3.1 Pro CC Thinking High,gemini,Gemini 3.1 Pro CC Thinking High,1,deepseek,deepseek-v4-pro,all,50,85.5,84.5,-1.0,3.38,"{""0"": 1, ""1"": 5, ""2"": 3, ""3"": 6, ""4"": 35}"
2026-06-26-direct-qa::direct_qa::gemini-3-1-pro-cc-thinking-high::rollout-2,2026-06-26-direct-qa,direct_qa,gemini_31,Gemini 3.1 Pro CC Thinking High,gemini,Gemini 3.1 Pro CC Thinking High,2,minimax,MiniMax-M3,part1_first_30,30,90.0,88.33333333333333,-1.6666666666666714,3.533333333333333,"{""0"": 1, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 23}"
2026-06-26-direct-qa::direct_qa::gemini-3-1-pro-cc-thinking-high::rollout-2,2026-06-26-direct-qa,direct_qa,gemini_31,Gemini 3.1 Pro CC Thinking High,gemini,Gemini 3.1 Pro CC Thinking High,2,minimax,MiniMax-M3,all,50,81.0,80.0,-1.0,3.2,"{""0"": 2, ""1"": 6, ""2"": 5, ""3"": 4, ""4"": 33}"
2026-06-26-direct-qa::direct_qa::gemini-3-1-pro-cc-thinking-high::rollout-2,2026-06-26-direct-qa,direct_qa,gemini_31,Gemini 3.1 Pro CC Thinking High,gemini,Gemini 3.1 Pro CC Thinking High,2,deepseek,deepseek-v4-pro,part1_first_30,30,91.66666666666666,90.0,-1.6666666666666572,3.6,"{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 5, ""4"": 23}"
2026-06-26-direct-qa::direct_qa::gemini-3-1-pro-cc-thinking-high::rollout-2,2026-06-26-direct-qa,direct_qa,gemini_31,Gemini 3.1 Pro CC Thinking High,gemini,Gemini 3.1 Pro CC Thinking High,2,deepseek,deepseek-v4-pro,all,50,82.0,81.0,-1.0,3.24,"{""0"": 1, ""1"": 6, ""2"": 4, ""3"": 8, ""4"": 31}"
2026-06-26-direct-qa::direct_qa::gemini-3-1-pro-cc-thinking-high::rollout-3,2026-06-26-direct-qa,direct_qa,gemini_31,Gemini 3.1 Pro CC Thinking High,gemini,Gemini 3.1 Pro CC Thinking High,3,minimax,MiniMax-M3,part1_first_30,30,87.5,86.66666666666667,-0.8333333333333286,3.466666666666667,"{""0"": 2, ""1"": 0, ""2"": 1, ""3"": 6, ""4"": 21}"
2026-06-26-direct-qa::direct_qa::gemini-3-1-pro-cc-thinking-high::rollout-3,2026-06-26-direct-qa,direct_qa,gemini_31,Gemini 3.1 Pro CC Thinking High,gemini,Gemini 3.1 Pro CC Thinking High,3,minimax,MiniMax-M3,all,50,77.5,77.0,-0.5,3.08,"{""0"": 2, ""1"": 7, ""2"": 4, ""3"": 9, ""4"": 28}"
2026-06-26-direct-qa::direct_qa::gemini-3-1-pro-cc-thinking-high::rollout-3,2026-06-26-direct-qa,direct_qa,gemini_31,Gemini 3.1 Pro CC Thinking High,gemini,Gemini 3.1 Pro CC Thinking High,3,deepseek,deepseek-v4-pro,part1_first_30,30,90.83333333333333,89.16666666666667,-1.6666666666666572,3.566666666666667,"{""0"": 2, ""1"": 0, ""2"": 0, ""3"": 5, ""4"": 23}"
2026-06-26-direct-qa::direct_qa::gemini-3-1-pro-cc-thinking-high::rollout-3,2026-06-26-direct-qa,direct_qa,gemini_31,Gemini 3.1 Pro CC Thinking High,gemini,Gemini 3.1 Pro CC Thinking High,3,deepseek,deepseek-v4-pro,all,50,81.0,80.0,-1.0,3.2,"{""0"": 2, ""1"": 6, ""2"": 3, ""3"": 8, ""4"": 31}"
2026-06-26-direct-qa::direct_qa::gpt-5-5-thinking-xhigh::rollout-1,2026-06-26-direct-qa,direct_qa,gpt_55,GPT-5.5 Thinking XHigh,gpt,GPT-5.5 Thinking XHigh,1,minimax,MiniMax-M3,part1_first_30,30,87.5,85.0,-2.5,3.4,"{""0"": 2, ""1"": 2, ""2"": 1, ""3"": 2, ""4"": 23}"
2026-06-26-direct-qa::direct_qa::gpt-5-5-thinking-xhigh::rollout-1,2026-06-26-direct-qa,direct_qa,gpt_55,GPT-5.5 Thinking XHigh,gpt,GPT-5.5 Thinking XHigh,1,minimax,MiniMax-M3,all,50,82.0,80.5,-1.5,3.22,"{""0"": 2, ""1"": 6, ""2"": 4, ""3"": 5, ""4"": 33}"
2026-06-26-direct-qa::direct_qa::gpt-5-5-thinking-xhigh::rollout-1,2026-06-26-direct-qa,direct_qa,gpt_55,GPT-5.5 Thinking XHigh,gpt,GPT-5.5 Thinking XHigh,1,deepseek,deepseek-v4-pro,part1_first_30,30,86.66666666666667,84.16666666666667,-2.5,3.3666666666666667,"{""0"": 3, ""1"": 2, ""2"": 0, ""3"": 1, ""4"": 24}"
