judge,rollout,part1,part2,overall
DeepSeek V4 Pro,1,95,92.5,94
DeepSeek V4 Pro,2,96.66666667,90,94
DeepSeek V4 Pro,3,94.16666667,93.75,94
DeepSeek V4 Pro,weighted,95.27777778,92.08333333,94
MiniMax M3 no-thinking,1,95.83333333,88.75,93
MiniMax M3 no-thinking,2,96.66666667,87.5,93
MiniMax M3 no-thinking,3,94.16666667,87.5,91.5
MiniMax M3 no-thinking,weighted,95.55555556,87.91666667,92.5
Mean of DeepSeek and MiniMax,1,95.41666667,90.625,93.5
Mean of DeepSeek and MiniMax,2,96.66666667,88.75,93.5
Mean of DeepSeek and MiniMax,3,94.16666667,90.625,92.75
Mean of DeepSeek and MiniMax,weighted,95.41666667,90,93.25
